央视频道,#genre#
CCTV1,http://120.211.62.180:8000/hls/1/index.m3u8
CCTV2,http://120.211.62.180:8000/hls/2/index.m3u8
CCTV3,https://tvpull.careryun.com/live/02b04ee89a7bea25b7778c181285fd0b.m3u8?txSecret=7e4ec46581a0e079a32202ea984c8428&txTime=68f4d75a
CCTV4,http://120.211.62.180:8000/hls/4/index.m3u8
CCTV5,https://tvpull.careryun.com/live/2fe3f8cc14c276a4d713fd6b9842e787.m3u8?txSecret=2ad58f18cd715554961a95bc236e6838&txTime=68f4d9d8
CCTV6,http://www.dsk.cc/php/bfgd.php?id=cctv6&m.m3u8
CCTV7,http://120.211.62.180:8000/hls/7/index.m3u8
CCTV8,http://www.dsk.cc/php/bfgd.php?id=cctv8&m.m3u8
CCTV9,http://120.211.62.180:8000/hls/9/index.m3u8
CCTV10,http://120.211.62.180:8000/hls/10/index.m3u8
CCTV11,http://120.211.62.180:8000/hls/11/index.m3u8
CCTV12,http://120.211.62.180:8000/hls/12/index.m3u8
CCTV13,http://120.211.62.180:8000/hls/13/index.m3u8
CCTV14,http://120.211.62.180:8000/hls/14/index.m3u8
CCTV15,http://120.211.62.180:8000/hls/15/index.m3u8
CCTV16,http://www.dsk.cc/php/bfgd.php?id=cctv16&m.m3u8
CCTV17,http://120.211.62.180:8000/hls/17/index.m3u8
CCTV4美洲,http://z.b.bkpcp.top/m.php?id=cctv4m
CCTV4欧洲,http://z.b.bkpcp.top/m.php?id=cctv4o
CCTV5+,http://120.211.62.180:8000/hls/18/index.m3u8
CGTN,http://120.211.62.180:8000/hls/16/index.m3u8
CGTN纪录,https://english-livebkali.cgtn.com/live/doccgtn.m3u8

卫视频道,#genre#
北京卫视,http://120.211.62.180:8000/hls/35/index.m3u8
东方卫视,hhttp://219.157.60.114:7001/rtp/225.1.4.85:1114
天津卫视,http://120.211.62.180:8000/hls/36/index.m3u8
重庆卫视,http://219.157.60.114:7001/rtp/225.1.4.157:1308
黑龙江卫视,http://219.157.60.114:7001/rtp/225.1.4.91:1120
辽宁卫视,http://120.211.62.180:8000/hls/37/index.m3u8
吉林卫视,http://219.157.60.114:7001/rtp/225.1.4.174:1309
延边卫视,http://live.ybtvyun.com/video/s10006-d48b8590849c/index.m3u8
内蒙古卫视,http://219.157.60.114:7001/rtp/225.1.4.45:1074
河北卫视,http://120.211.62.180:8000/hls/19/index.m3u8
河南卫视,http://120.211.62.180:8000/hls/40/index.m3u8
山东卫视,http://120.211.62.180:8000/hls/38/index.m3u8
山东教育卫视,http://test1.live.sdetv.com.cn/live/dianshizhibo/playlist.m3u8
山西卫视,http://219.157.60.114:7001/rtp/225.1.4.38:1067
湖南卫视,http://120.211.62.180:8000/hls/30/index.m3u8
湖北卫视,http://219.157.60.114:7001/rtp/225.1.4.89:1118
广东卫视,http://219.157.60.114:7001/rtp/225.1.4.166:1207
广东珠江,http://cdn2.163189.xyz/live/gdzj/stream.m3u8
深圳卫视,http://219.157.60.114:7001/rtp/225.1.4.90:1119
大湾区卫视,http://z.b.bkpcp.top/m.php?id=dwqws
香港卫视,http://webcast.hkstv.tv/livestream/mutfysrq/playlist.m3u8
广西卫视,http://219.157.60.114:7001/rtp/225.1.4.31:1060
海南卫视,http://219.157.60.114:7001/rtp/225.1.4.195:1310
三沙卫视,http://219.157.60.114:7001/rtp/225.1.4.234:1280
安徽卫视,http://120.211.62.180:8000/hls/33/index.m3u8
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8?
江苏卫视,http://120.211.62.180:8000/hls/32/index.m3u8
江西卫视,http://219.157.60.114:7001/rtp/225.1.4.139:1305
福建东南卫视,http://120.211.62.180:8000/hls/34/index.m3u8
厦门卫视,http://219.157.60.114:7001/rtp/225.1.4.95:1124
海峡卫视,http://goo.bkpcp.top/mg/hxws
云南卫视,http://120.211.62.180:8000/hls/39/index.m3u8
贵州卫视,http://219.157.60.114:7001/rtp/225.1.4.122:1302
四川卫视,http://219.157.60.114:7001/rtp/225.1.4.151:1306
陕西卫视,http://zb.5kds.com/sx.php
农林卫视,http://gxlive.snrtv.com/nlws-SD.m3u8
甘肃卫视,http://219.157.60.114:7001/rtp/225.1.4.42:1071
宁夏卫视,http://219.157.60.114:7001/rtp/225.1.4.43:1072
青海卫视,http://219.157.60.114:7001/rtp/225.1.4.44:1073
新疆卫视,http://219.157.60.114:7001/rtp/225.1.4.47:1076
兵团卫视,https://liveout.btzx.com.cn/62ds9e/yil08g.m3u8
西藏卫视,http://php.jdshipin.com:8880/xztv.php?id=ws

港澳台,#genre#
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=huali2
翡翠台4K,
HOY TV,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv
J2,http://php.jdshipin.com/TVOD/iptv.php?id=j2
TVB星河,http://php.jdshipin.com:8880/PLTV/iptv.php?id=xinghe
TVB亚洲武侠,http://php.jdshipin.com/TVOD/iptv.php?id=yzwx
明珠台,http://qjrhc.jydjd.top:2911/udp/224.1.100.123:11111
无线新闻,http://php.jdshipin.com:8880/smt.php?id=inews_twn
无线娱乐新闻,http://php.jdshipin.com/TVOD/iptv.php?id=tvbylxw
美亚C+,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
美亚电影台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=meiya
MOMOTV,rtmp://f13h.mine.nu/sat/tv761
TVBSNEWS,http://61.221.215.25:8800/hls/9/index.m3u8
东森超视,rtmp://f13h.mine.nu/sat/tv331
八大戏剧台,http://61.221.215.25:8800/hls/39/index.m3u8
八大第1台,http://61.221.215.25:8800/hls/55/index.m3u8
八大综合台,http://61.221.215.25:8800/hls/56/index.m3u8
大爱1,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大爱2,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
大立,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
Eleven体育,rtmp://f13h.mine.nu/sat/tv731
Eleven体育1,rtmp://f13h.mine.nu/sat/tv741
非凡新闻,rtmp://f13h.mine.nu/sat/tv581
华视,rtmp://f13h.mine.nu/sat/tv111
寰宇新闻台,http://aktv.top/AKTV/live/aktv/null-9/AKTV.m3u8
环球电视台,http://zb.xzxwhcb.com:9999/hls/world.m3u8
靖天电影台,https://aktv.top/AKTV/live/aktv/null6/AKTV.m3u8
民视,rtmp://f13h.mine.nu/sat/tv051
民视新闻台,http://38.64.72.148/hls/modn/list/4012/chunklist1.m3u8
三立戏剧台,http://61.221.215.25:8800/hls/41/index.m3u8
三立综合台,https://aktv.top/AKTV/live/aktv/null13/AKTV.m3u8
台视,rtmp://f13h.mine.nu/sat/tv071
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
纬来精采,http://61.221.215.25:8800/hls/48/index.m3u8
纬来日本,rtmp://f13h.mine.nu/sat/tv771
纬来育乐,rtmp://f13h.mine.nu/sat/tv701
纬来体育,rtmp://f13h.mine.nu/sat/tv721
星光综合台,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv
耀才财经,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
中视,rtmp://f13h.mine.nu/sat/tv091
中天新闻,https://aktv.top/AKTV/live/aktv/null8/AKTV.m3u8
中天娱乐,http://61.221.215.25:8800/hls/47/index.m3u8
中天亚洲台,https://aktv.top/AKTV/live/aktv/null12/AKTV.m3u8
美国新闻,https://nmxlive.akamaized.net/hls/live/529965/Live_1/index.m3u8
韩国阿里郎,http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8

国外频道,#genre#
4K_Travel_TV,https://streams2.sofast.tv/sofastplayout/33c31ac4-51fa-46ae-afd0-0d1fe5e60a80_0_HLS/master.m3u8
ABC_10_Duluth_MN_(WDIO)_(1080p),https://amg01942-amg01942c3-stirr-us-10196.playouts.now.amagi.tv/playlist.m3u8
ABC_20/20_(1080p),https://d4bq78o8d5tf5.cloudfront.net/ABC_2020.m3u8
Absinthe_TV_(1080p),https://streams2.sofast.tv/v1/master/611d79b11b77e2f571934fd80ca1413453772ac7/254b2fef-a3dd-4a6d-af18-38711e02e31c/manifest.m3u8
Ace_TV,https://streams2.sofast.tv/WiseM3U8_30/sofast/cleanhls/master.m3u8
Action_Hollywood_Movies_(1080p),https://amg01076-lightningintern-actionhollywood-samsungau-rs69y.amagi.tv/playlist/amg01076-lightningintern-actionhollywood-samsungau/playlist.m3u8
Al_Riyadh_Radio_(1080p),https://live.kwikmotion.com/sbrksariyadhradiolive/srpksariyadhradio/playlist.m3u8
Alone_By_History_(720p),https://d3181anftsyl2u.cloudfront.net/v1/aenetworks_alone_1/samsungheadend_us/latest/main/hls/playlist.m3u8
Altena_TV_(720p),https://dnx1f4sl30ba2.cloudfront.net/nlpo/clr-nlpo/altenatv/index.m3u8
Amazon_Sat_(1080p),https://amazonsat.brasilstream.com.br/hls/amazonsat/index.m3u8
America's_Boating_Channel,https://streams2.sofast.tv/v1/master/611d79b11b77e2f571934fd80ca1413453772ac7/04c3a27e-c2a0-420b-8eef-7dae9ab93056/manifest.m3u8
America's_Got_Talent_(720p),https://d1i40wgstaij6f.cloudfront.net/webvtt/v1/18584c3f3a2a4df8/88886062/master.m3u8
American_Ninja_Warrior,https://xumo-drct-ch812-n4996.fast.nbcuni.com/live/master.m3u8
Animax_(544p),http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=bs15
Automotion,https://streams2.sofast.tv/sofastplayout/0c3229e2-6ca5-4714-859e-c0ac6b9aa58a_0_HLS/master.m3u8
Baby_Einstein_(720p),https://ds25p79iq4576.cloudfront.net/master.m3u8
Bahry_(1080p),https://live.kwikmotion.com/bahry1live/bahry1.smil/playlist.m3u8
Bang_Bang_TV,https://streams2.sofast.tv/v1/master/611d79b11b77e2f571934fd80ca1413453772ac7/6a98fce2-bf4c-4bfb-91f4-c43851bb3801/manifest.m3u8
Banijay_Mr_Bean_Animé,https://amg00627-amg00627c31-rakuten-fr-3991.playouts.now.amagi.tv/playlist/amg00627-banijayfast-mrbeanfrcc-rakutenfr/playlist.m3u8
Banten_TV_(720p)_[Not_24/7],https://5bf7b725107e5.streamlock.net/bantentv/bantentv/playlist.m3u8
Banyumas_TV_(720p)_[Not_24/7],https://5bf7b725107e5.streamlock.net/bmstv/bmstv/playlist.m3u8
Barbie_and_Friends_(1080p),https://d1xqdnwy1bo05f.cloudfront.net/barb.m3u8
batteryPOP_(720p),https://d24c0gmuazjo9x.cloudfront.net/master.m3u8
BBC_Drama_Italy_(1080p),https://amg00793-amg00793c41-rakuten-it-5445.playouts.now.amagi.tv/playlist.m3u8
